username, created_at, lng, lat, text
kaijupower, Wed Jan 20 23:58:33 +0000 2021, -83.804475, 27.698682, @barrowd_timee @DevonESawa Woah! Nah ah!!! Did you get to meet the family? How do you know?? Oh man I’m so excited! 
DreaVegas, Wed Jan 20 23:58:33 +0000 2021, -115.133373, 36.249124, @justadude120 🤣🤣🤣 Omggggg 
John29Dee, Wed Jan 20 23:58:33 +0000 2021, -73.849441, 40.850347, @RealMichaelKay hey Mr. Kay remember John d the deli guy from way back now an fdny firefighter in the south Bronx s… https://t.co/6NrcXqETJc 
SueGrossman7, Wed Jan 20 23:58:33 +0000 2021, -71.683502, 42.036939, @azsweetheart013 Absolutely agreed. Stunning 
codemonkey85, Wed Jan 20 23:58:33 +0000 2021, -73.412972, 41.568145, @JamesSACorey I don’t, but my wife does.@shannanf89 😛 
RunBklyn, Wed Jan 20 23:58:33 +0000 2021, -73.948775, 40.655138, @RowanOak5 @HappilySucks Honored. 🐶 
JohnBoardCT, Wed Jan 20 23:58:33 +0000 2021, -77.014398, 38.898603, Today our Nation inaugurated a new administration. Congrats to @POTUS @JoeBiden &amp; @VP @KamalaHarris.… https://t.co/oznZEBnhU0 
robert77188687, Wed Jan 20 23:58:33 +0000 2021, -121.896165, 37.431473, @Kay35283831 hey how are you ? 
Alpine_Joy, Wed Jan 20 23:58:34 +0000 2021, -77.483288, 38.298065, @KBAndersen 📮AWESOME! Long may YOU wave🖖🏼☮️😎! 
Pietrus824, Wed Jan 20 23:58:33 +0000 2021, -79.272570, 43.629311, @sunnkissedhoney https://t.co/xcxMzrz6MW 
JediMarcoNYC, Wed Jan 20 23:58:34 +0000 2021, -73.831187, 40.670879, It’s boring and I love it! 
_laismarques_, Wed Jan 20 23:58:34 +0000 2021, -79.272570, 43.629311, Ola ola https://t.co/k6OQPa0yWs 
2psyched_, Wed Jan 20 23:58:34 +0000 2021, -97.754724, 30.323346, I’m tired of the fighting. The arguing. The bickering. There’s way to much hate energy between one another, out in… https://t.co/ryeVIfzFpF 
PetersonAlvin, Wed Jan 20 23:58:34 +0000 2021, -90.074431, 29.947590, Seems we having an issue with some protestors. Hmmm @ Rouses Markets https://t.co/b6fgkRBHh8 
Valenti71467229, Wed Jan 20 23:58:34 +0000 2021, -99.726569, 27.473712, @ruubenrod Dos días antes y sin ningún positivo? No manchen 
coleman_peanut, Wed Jan 20 23:58:34 +0000 2021, -79.420865, 38.003376, @SeahornWill Thanks 
TcVersBoi, Wed Jan 20 23:58:35 +0000 2021, -95.446486, 29.838495, @xborisr Let me serve you some effective head 
jnrvl892, Wed Jan 20 23:58:35 +0000 2021, -73.723025, 45.557830, Se recuerdo de esto señor parker?@rodolfo_parker https://t.co/0ztXt6w9OK 
BellaTia, Wed Jan 20 23:58:35 +0000 2021, -108.746249, 35.521893, Her job ! As when police , police appropriately they put criminals in jail. 
reneemarcelle2, Wed Jan 20 23:58:35 +0000 2021, -81.219179, 29.525946, @LindsayLaurent_ Hey babe you are the sunshine of my life hugs and kisses babe 💘 IV ya 
AidaCraci, Wed Jan 20 23:58:35 +0000 2021, -87.732013, 41.833585, I join with all females in this country and beyond in celebrating @KamalaHarris God is good 💜🤍 
christo52325612, Wed Jan 20 23:58:35 +0000 2021, -122.228685, 37.791994, @jennifertru07 Just pray for it's good 
EyKikx, Wed Jan 20 23:58:35 +0000 2021, -100.118882, 25.608331, @TraviesitosMty https://t.co/vleoAWpRCI 
SimplyTe_, Wed Jan 20 23:58:35 +0000 2021, -118.346153, 33.953633, @_Scottyx @karlieblue_ One name Brooke? Don’t flatter yourself you started a whole section👀😂😂😂 
toni_adeyemi, Wed Jan 20 23:58:35 +0000 2021, -118.411907, 34.020789, life hack: if you’re trying to drink more water, get a water bottle with a straw. changes the game https://t.co/6qCeSLi4oN 
drblack3618, Wed Jan 20 23:58:35 +0000 2021, -80.926628, 33.631140, From all you have tweeted since I started following you, you care about all people, and are relieved that the Ameri… https://t.co/yZGOzjlFUR 
DruuRELIGION, Wed Jan 20 23:58:36 +0000 2021, -89.533770, 34.354670, Do Right , and the Wrong ppl will leave out ya Life 
oneryCMB, Wed Jan 20 23:58:36 +0000 2021, -99.317690, 38.881950, @bmacxh Ohhhhhh that makes more sense😂😂 
LexiOnFiyah, Wed Jan 20 23:58:36 +0000 2021, -104.949845, 39.905474, @emaraven11 I mean so was pre-transition me. https://t.co/NPs4tXyN6P 
dsl89, Wed Jan 20 23:58:36 +0000 2021, -86.791549, 36.200008, I'm... actually interested in watching a White House press briefing? https://t.co/8lT1z8RMlJ 
ConnerAJ2, Wed Jan 20 23:58:36 +0000 2021, -92.659354, 30.814622, @AngelinaConner_ Well that shouldn’t happen 
phishpphan, Wed Jan 20 23:58:36 +0000 2021, -79.272570, 43.629311, My iPhone picked this short movie for me(it’s from 12/28/18 at the garden). I think this is the message from 🍎 to c… https://t.co/hKTczJmJKS 
lifesAlyric, Wed Jan 20 23:58:36 +0000 2021, -84.475291, 33.657586, Y’all I’m so irritated! 🤬 I finally found a dinette set and started to put it together m, just to realize it’s SMAL… https://t.co/jgmb0mfC9U 
fathacreacha, Wed Jan 20 23:58:37 +0000 2021, -87.732013, 41.833585, 😍😍😍 
colderthan__ice, Wed Jan 20 23:58:37 +0000 2021, -80.846785, 35.209059, What could one single human possibly need $1 trillion for? What???? 
MHagkull, Wed Jan 20 23:58:37 +0000 2021, -83.073184, 40.026596, ⬇️⬇️ 
Ttime56Uno, Wed Jan 20 23:58:37 +0000 2021, -80.112903, 26.533486, My sister rented out a party bus until 2 am Saturday for her 30th birthday, welp gg boys https://t.co/Dn7dRzA75k 
KatelynnAnzek, Wed Jan 20 23:58:37 +0000 2021, -82.095304, 33.526322, Truck crashed into one of our local Churches! 😳😲🙏🙏🙏 https://t.co/1mt5TLoukX 
JoanneBonnalie, Wed Jan 20 23:58:37 +0000 2021, -116.979419, 46.399266, @HillaryClinton https://t.co/yuft3m9upJ 
WHSBlueJays, Wed Jan 20 23:58:37 +0000 2021, -91.009635, 38.546088, D. Deckelman w/ the open over FZN @ 126lbs! 
Bactor21, Wed Jan 20 23:58:37 +0000 2021, -80.244984, 36.087169, @Tdwhy1 It's time to get a bill passed in the Senate! 
DavidWe18019162, Wed Jan 20 23:58:37 +0000 2021, -77.604684, 41.117936, OYE VEY!!!!🔴🔴🔴 
CubicSnarkonia, Wed Jan 20 23:58:37 +0000 2021, -121.959531, 37.813777, @_MarcusD3_ 😁😁😁 
hollysimone, Wed Jan 20 23:58:37 +0000 2021, -96.605809, 33.640095, 💙 
mason_isaac, Wed Jan 20 23:58:37 +0000 2021, -85.768241, 37.822244, Game time!! 
lizlou2sandy, Wed Jan 20 23:58:37 +0000 2021, -73.743119, 43.142682, @Kevin_McCashion Just ordered. 
no_talent_shan, Wed Jan 20 23:58:38 +0000 2021, -75.117998, 40.004866, just found out g*orge w b*sh is still alive .. :/ i shouldn’t be alone right now 😔 
Omar90553675, Wed Jan 20 23:58:38 +0000 2021, -117.585658, 33.859093, @marianarve Estar bien grifo 
cmenchaca, Wed Jan 20 23:58:38 +0000 2021, -73.948775, 40.655138, #NoMuslimBanEver 
amarkowitzWX, Wed Jan 20 23:58:38 +0000 2021, -76.510792, 38.969966, @wy7757 @keepupwithAL Thanks Wyatt 
iwishihad_abs, Wed Jan 20 23:58:38 +0000 2021, -86.777985, 35.995272, @kordyyB oui 
tanner_barth, Wed Jan 20 23:58:38 +0000 2021, -79.861034, 35.170499, @Samsworth_KSL None of the players or referees have said anything about it. The state did implement a mask timeout… https://t.co/ZnVkHI41JZ 
Kicklahoma, Wed Jan 20 23:58:38 +0000 2021, -97.544430, 35.524789, Just posted a photo @ Penn Square Mall https://t.co/jY9QRpSiFp 
BudhuBhaduri, Wed Jan 20 23:58:38 +0000 2021, -84.180557, 35.861903, @NadyaRAlly What’s the twist? 
ben_klau, Wed Jan 20 23:58:38 +0000 2021, -72.757385, 41.500753, 🤝ain’t even a real thing @Ricky_Offe 
PaulDaytona22, Wed Jan 20 23:58:38 +0000 2021, -81.068556, 29.190223, Jesus said, "A census is coming this year." 
jcastrocastro, Wed Jan 20 23:58:38 +0000 2021, -107.762357, 24.734035, @MrLotario El 3! 
